,threshold,net_benefit
0,0.01,0.14186108876374365
1,0.02,0.13310456926133285
2,0.03,0.12416750296505794
3,0.04,0.11504424778761063
4,0.05,0.1057289240801118
5,0.060000000000000005,0.09765894683989204
6,0.06999999999999999,0.087702604117106
7,0.08,0.08285237912017443
8,0.09,0.07543194268857986
9,0.09999999999999999,0.07391019337921995
10,0.11,0.0629743793709191
11,0.12,0.06100831322070261
12,0.13,0.05580985318550164
13,0.14,0.05652740618783015
14,0.15000000000000002,0.05136213777546415
15,0.16,0.04712740553448518
16,0.17,0.047712975796993275
17,0.18000000000000002,0.038815742139722276
18,0.19,0.03525255835973634
19,0.2,0.02986725663716814
20,0.21000000000000002,0.022030544042418124
21,0.22,0.020611148929732998
22,0.23,0.02061065777879937
23,0.24000000000000002,0.022900170780934634
24,0.25,0.017207472959685347
25,0.26,0.009806266443434585
26,0.27,0.00614215864549238
27,0.28,0.008603736479842673
28,0.29000000000000004,0.0033030038638913097
29,0.3,0.004424778761061947
30,0.31,0.0014107990252661276
31,0.32,0.0018219677251431537
32,0.33,0.004468806410425747
33,0.34,0.003620273531777956
34,0.35000000000000003,0.002836396641706376
35,0.36000000000000004,0.0021202064896755158
36,0.37,0.0014749262536873156
37,0.38,0.0014749262536873156
38,0.39,0.0
39,0.4,0.0
40,0.41000000000000003,0.0
41,0.42000000000000004,0.0
42,0.43,0.0
43,0.44,0.0
44,0.45,0.0
45,0.46,0.0
46,0.47000000000000003,0.0
47,0.48000000000000004,0.0
48,0.49,0.0
