,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Threshold
0,LogisticRegression,0.584070796460177,0.22727272727272727,0.7352941176470589,0.3472222222222222,0.7137969771241829,0.4199999999999998
1,Stacking,0.5294985250737463,0.2152230971128609,0.803921568627451,0.33954451345755693,0.713031045751634,0.2599999999999999
2,NaiveBayes,0.6489675516224189,0.25539568345323743,0.696078431372549,0.3736842105263158,0.7046228213507625,0.3699999999999999
3,AdaBoost,0.7035398230088495,0.2608695652173913,0.5294117647058824,0.34951456310679613,0.6663432734204793,0.48999999999999977
4,RandomForest,0.56047197640118,0.20658682634730538,0.6764705882352942,0.3165137614678899,0.6467354302832244,0.22999999999999995
5,XGBoost,0.7109144542772862,0.24175824175824176,0.43137254901960786,0.30985915492957744,0.6054772603485838,0.1
6,KNN,0.5575221238938053,0.17434210526315788,0.5196078431372549,0.26108374384236455,0.5816312636165577,0.2899999999999999
7,GradientBoosting,0.6578171091445427,0.19907407407407407,0.4215686274509804,0.27044025157232704,0.5565597766884531,0.1
8,SVC,0.6283185840707964,0.1794871794871795,0.4117647058823529,0.25,0.5562874455337691,0.14999999999999997
