,Metric,Train Mean,Train Std,Val Mean,Val Std
0,accuracy,0.6800935550935551,0.003043981385518982,0.676923076923077,0.006749556374531359
1,precision,0.6252257219250225,0.005681776159503776,0.621363689939395,0.010953033327834798
2,recall,0.507250029344199,0.0020009212175794407,0.5002583979328166,0.022411915982747735
3,f1,0.5600815841452216,0.0028219694238384957,0.5539690311506522,0.015050582279540984
4,roc_auc,0.7301497293665817,0.0005236296374912622,0.7272922645284077,0.001384495066709232
